ean;name;quantity;sector;type;size
7891060799866;AFIADOR DE FACA CHAIRA 12 MUNDIAL;0;ACESSORIOS;AFIADOR DE FACA;
7891112053809;AFIADOR DE FACA CHAIRA ESTRIADA ACO TRAMONTINA;0;ACESSORIOS;AFIADOR DE FACA;
2501504940000;BONE BRANCO HIPER;0;ACESSORIOS;BONE;
2501504940031;BONE FISCAL PRETO C/AMARELO;0;ACESSORIOS;BONE;
2501504940024;BONE PRETO HIPER;0;ACESSORIOS;BONE;
2501504940017;BONE VERDE HIPER;0;ACESSORIOS;BONE;
7894854025462;CARTUCHO QUIMICO 6003 - VAPORES ORGANICOS E GASES ACIDOS 3M;0;ACESSORIOS;CARTUCHO;
7897294403937;CHAVEIRO C/ETIQUETA MULTICOLOR WALEU;0;ACESSORIOS;CHAVEIRO;
7898530880819;CINTA ERGONOMICA C/SUSPENSORIO M VICSA;0;ACESSORIOS;CINTA;
7898530880857;CINTA ERGONOMICA FAJA LUMBAR M STEELPRO;0;ACESSORIOS;CINTA;
2501504940062;CINTA PROTETOR LOMBAR TM - M MAZOLA;0;ACESSORIOS;CINTA;
2501504940055;COLETE DE TREINAMENTO PRETO;0;ACESSORIOS;COLETE;
7898530880994;COLETE TIPO BLUSAO RFX LARANJA G VICSA;0;ACESSORIOS;COLETE;
7898530880901;COLETE TIPO BLUSAO RFX LARANJA M VICSA;0;ACESSORIOS;COLETE;
7898530881250;COLETE TIPO X LARANJA UNICO VIC-71106 VICSA;0;ACESSORIOS;COLETE;
7894903921639;ESTILETE LARGO EMBORRACHADO FLT 18MM;0;ACESSORIOS;ESTILETE;
2501504948006;ESTILETE LARGO PROFISSIONAL THOMPSON 18MM;0;ACESSORIOS;ESTILETE;
7891060187472;FACA DE ACOUGUEIRO BRANCA 5520-12 MUNDIAL;0;ACESSORIOS;FACA;
7891060238013;FACA DESOSSA BRANCA 5515-6 MUNDIAL;0;ACESSORIOS;FACA;
7891112052581;FACA DESSOSAR INOX 6 PROFISSIONAL TRAMONTINA;0;ACESSORIOS;FACA;
7891112052239;FACA PASSADOR INOX 12 PROFISSIONAL TRAMONTINA;0;ACESSORIOS;FACA;
7891112242456;FACA YANAGIBA TM-09 SUSHI GOLD PRETO TRAMONTINA;0;ACESSORIOS;FACA;
2501504940093;PALMILHA ANTIBACTERICIDA DUBLAJET 35;0;ACESSORIOS;PALMILHA;35
7893596069291;PALMILHA ANTIBACTERICIDA DUBLAJET 36;0;ACESSORIOS;PALMILHA;36
2501504940086;PALMILHA ANTIBACTERICIDA DUBLAJET 37;0;ACESSORIOS;PALMILHA;37
7893596069314;PÁLMILHA ANTIBACTERICIDA DUBLAJET 38;0;ACESSORIOS;PÁLMILHA;38
7893596069321;PALMILHA ANTIBACTERICIDA DUBLAJET 39;0;ACESSORIOS;PALMILHA;39
7893596069338;PALMILHA ANTIBACTERICIDA DUBLAJET 40;0;ACESSORIOS;PALMILHA;40
7893596069345;PALMILHA ANTIBACTERICIDA DUBLAJET 41;0;ACESSORIOS;PALMILHA;41
2501504940109;PALMILHA ANTIBACTERICIDA DUBLAJET 42;0;ACESSORIOS;PALMILHA;42
7893596069369;PALMILHA ANTIBACTERICIDA DUBLAJET 43;0;ACESSORIOS;PALMILHA;43
7893596069376;PALMILHA ANTIBACTERICIDA DUBLAJET 44;0;ACESSORIOS;PALMILHA;44
7897547201907;PISTOLA DE PINTURA AR DIRETO REF-90 650ML ARPREX;0;ACESSORIOS;PISTOLA;
2501504940048;PRENDEDOR DE CABELO C/LACO REDE;0;ACESSORIOS;PRENDEDOR;
7898509766809;PROTETOR SOLAR FPS 30 CORPORAL PROF GL NUTRIEX;0;ACESSORIOS;PROTETOR;
7896560509243;PROTETOR SOLAR FPS 30 FP UVA 17 LUVEX;0;ACESSORIOS;PROTETOR;
7898939140255;PROTETOR SOLAR FPS-30 FP-UVA PRO-SUN;0;ACESSORIOS;PROTETOR;
7898509766779;PROTETOR SOLAR NUTRIEX FPS-30 1/3 UVA 120ML;0;ACESSORIOS;PROTETOR;
7898530880413;TALABARTE ELASTICO EM Y VIC23605 VICSA;0;ACESSORIOS;TALABARTE;
729105799311;TERMOMETRO DIGITAL INFRAVERMELHO - LOYE;0;ACESSORIOS;TERMOMETRO;
2501504920385;AVENTAL AVEPYU PYAVE00002 PREVEMAX;0;EPI;AVENTAL;
2501504920712;AVENTAL DE RASPA LUVEQ BARBEIRO 1,20X0,60CM S/EMENDA;0;EPI;AVENTAL;
2501504920231;AVENTAL KOMBAT HEAT RIO 186 RIO VALLEY;0;EPI;AVENTAL;
7896353821651;AVENTAL MALHA DE ACO DA-3333N DANNY;0;EPI;AVENTAL;
2501504920903;AVENTAL PVC FORRADO BRANCO C/ ENGATE MAICOL;0;EPI;AVENTAL;
7890504101777;AVENTAL TERMICO KITCHENS KOMBAT SOGMA;0;EPI;AVENTAL;
2501504920378;AVENTAL TRANSPARENTE 733L PROT-CAP;0;EPI;AVENTAL;
7899951900018;AVENTAL TRANSPARENTE DE VINIL LINABRA;0;EPI;AVENTAL;
08072;AVENTAL TRANSPARENTE PVC C/C NYLON PREVEMAX;0;EPI;AVENTAL;
7899951900179;AVENTAL TRANSPARENTE REF-450 LINABRA;0;EPI;AVENTAL;
2501504920408;AVENTAL VINIL 020 CORDÃO ALGODÃO 120X60CM;0;EPI;AVENTAL;
7893963032590;BOTA BRANCA COTURNO 70C32-FRI-A-CP 43 MARLUVAS;0;EPI;BOTA;43
7893963542471;BOTA BRANCA COTURNO 70C32-FRI-A 39 MARLUVAS;0;EPI;BOTA;39
7893963032552;BOTA BRANCA COTURNO 70C32-FRI-A 40 MARLUVAS;0;EPI;BOTA;40
